hf ({'pretrained': 'TinyLlama/TinyLlama-1.1B-Chat-v1.0'}), gen_kwargs: ({}), limit: None, num_fewshot: None, batch_size: 8
|                 Tasks                 |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|  - college_mathematics                |      1|none  |     0|acc   |↑  |0.1900|±  |0.0394|
|  - college_physics                    |      1|none  |     0|acc   |↑  |0.1667|±  |0.0371|
|  - computer_security                  |      1|none  |     0|acc   |↑  |0.2800|±  |0.0451|
|  - conceptual_physics                 |      1|none  |     0|acc   |↑  |0.3277|±  |0.0307|
|  - electrical_engineering             |      1|none  |     0|acc   |↑  |0.2276|±  |0.0349|
|  - elementary_mathematics             |      1|none  |     0|acc   |↑  |0.2460|±  |0.0222|
|  - high_school_biology                |      1|none  |     0|acc   |↑  |0.2710|±  |0.0253|
|  - high_school_chemistry              |      1|none  |     0|acc   |↑  |0.2709|±  |0.0313|
|  - high_school_computer_science       |      1|none  |     0|acc   |↑  |0.2400|±  |0.0429|
|  - high_school_mathematics            |      1|none  |     0|acc   |↑  |0.2593|±  |0.0267|
|  - high_school_physics                |      1|none  |     0|acc   |↑  |0.2119|±  |0.0334|
|  - high_school_statistics             |      1|none  |     0|acc   |↑  |0.1898|±  |0.0267|
|  - machine_learning                   |      1|none  |     0|acc   |↑  |0.2679|±  |0.0420|

|      Groups      |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------------------|------:|------|------|------|---|-----:|---|-----:|
|mmlu              |      2|none  |      |acc   |↑  |0.2481|±  |0.0036|
| - humanities     |      2|none  |      |acc   |↑  |0.2591|±  |0.0064|
| - other          |      2|none  |      |acc   |↑  |0.2517|±  |0.0078|
| - social sciences|      2|none  |      |acc   |↑  |0.2294|±  |0.0076|
| - stem           |      2|none  |      |acc   |↑  |0.2464|±  |0.0076|

