hf ({'pretrained': 'TinyLlama/TinyLlama-1.1B-Chat-v1.0'}), gen_kwargs: ({}), limit: None, num_fewshot: None, batch_size: 8
|                 Tasks                 |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|  - professional_medicine              |      1|none  |     0|acc   |↑  |0.1654|±  |0.0226|
|  - virology                           |      1|none  |     0|acc   |↑  |0.2470|±  |0.0336|
| - social sciences                     |      2|none  |      |acc   |↑  |0.2288|±  |0.0076|
|  - econometrics                       |      1|none  |     0|acc   |↑  |0.2719|±  |0.0419|
|  - high_school_geography              |      1|none  |     0|acc   |↑  |0.2424|±  |0.0305|
|  - high_school_government_and_politics|      1|none  |     0|acc   |↑  |0.2280|±  |0.0303|
|  - high_school_macroeconomics         |      1|none  |     0|acc   |↑  |0.2128|±  |0.0208|
|  - high_school_microeconomics         |      1|none  |     0|acc   |↑  |0.2395|±  |0.0277|
|  - high_school_psychology             |      1|none  |     0|acc   |↑  |0.2147|±  |0.0176|
|  - human_sexuality                    |      1|none  |     0|acc   |↑  |0.1908|±  |0.0345|
|  - professional_psychology            |      1|none  |     0|acc   |↑  |0.2631|±  |0.0178|
|  - public_relations                   |      1|none  |     0|acc   |↑  |0.2000|±  |0.0383|
|  - security_studies                   |      1|none  |     0|acc   |↑  |0.1673|±  |0.0239|
|  - sociology                          |      1|none  |     0|acc   |↑  |0.2289|±  |0.0297|
|  - us_foreign_policy                  |      1|none  |     0|acc   |↑  |0.2900|±  |0.0456|
| - stem                                |      2|none  |      |acc   |↑  |0.2458|±  |0.0076|
|  - abstract_algebra                   |      1|none  |     0|acc   |↑  |0.2700|±  |0.0446|
|  - anatomy                            |      1|none  |     0|acc   |↑  |0.3556|±  |0.0414|
|  - astronomy                          |      1|none  |     0|acc   |↑  |0.1579|±  |0.0297|
|  - college_biology                    |      1|none  |     0|acc   |↑  |0.2778|±  |0.0375|
|  - college_chemistry                  |      1|none  |     0|acc   |↑  |0.2000|±  |0.0402|
|  - college_computer_science           |      1|none  |     0|acc   |↑  |0.1900|±  |0.0394|
|  - college_mathematics                |      1|none  |     0|acc   |↑  |0.2100|±  |0.0409|
|  - college_physics                    |      1|none  |     0|acc   |↑  |0.1569|±  |0.0362|
|  - computer_security                  |      1|none  |     0|acc   |↑  |0.2900|±  |0.0456|
|  - conceptual_physics                 |      1|none  |     0|acc   |↑  |0.3149|±  |0.0304|
|  - electrical_engineering             |      1|none  |     0|acc   |↑  |0.2138|±  |0.0342|
|  - elementary_mathematics             |      1|none  |     0|acc   |↑  |0.2487|±  |0.0223|
|  - high_school_biology                |      1|none  |     0|acc   |↑  |0.2710|±  |0.0253|
|  - high_school_chemistry              |      1|none  |     0|acc   |↑  |0.2759|±  |0.0314|
|  - high_school_computer_science       |      1|none  |     0|acc   |↑  |0.2300|±  |0.0423|
|  - high_school_mathematics            |      1|none  |     0|acc   |↑  |0.2481|±  |0.0263|
|  - high_school_physics                |      1|none  |     0|acc   |↑  |0.2119|±  |0.0334|
|  - high_school_statistics             |      1|none  |     0|acc   |↑  |0.1898|±  |0.0267|
|  - machine_learning                   |      1|none  |     0|acc   |↑  |0.2589|±  |0.0416|

|      Groups      |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------------------|------:|------|------|------|---|-----:|---|-----:|
|mmlu              |      2|none  |      |acc   |↑  |0.2482|±  |0.0036|
| - humanities     |      2|none  |      |acc   |↑  |0.2591|±  |0.0064|
| - other          |      2|none  |      |acc   |↑  |0.2533|±  |0.0078|
| - social sciences|      2|none  |      |acc   |↑  |0.2288|±  |0.0076|
| - stem           |      2|none  |      |acc   |↑  |0.2458|±  |0.0076|

